Field,ID,RA,DEC,FWHM,ISOarea,KRON_RADIUS,nDet_magPStotal,PhotoFlagDet,R_PStotal,F660_PStotal,I_PStotal
H,"iDR3.HYDRA-0011.075548",150.44330135993783,-23.173862289410675,2.0751402,17,1.82,6.0,0,19.627684,19.112473,20.69732
S,"iDR3.SPLUS-n08s38.032224",202.69644814920034,-9.404781810879024,6.441645,20,5.527545,12.0,0,19.689669,19.0525,20.484447
S,"iDR3.SPLUS-s20s35.031802",335.3749339357301,-25.38194285939862,5.726001,15,3.723419,12.0,0,19.968616,19.531807,20.501358
S,"iDR3.SPLUS-n11s01.041473",149.86750379524292,-13.252131750691166,2.2464907,13,1.82,12.0,0,20.1786,19.68111,20.652071
H,"iDR3.HYDRA-0048.036892",163.18920507877073,-28.08168034712678,2.3073294,87,3.2621028,10.0,3,16.598564,16.59117,18.294199
S,"iDR3.SPLUS-n16s11.031916",165.0198883039752,-20.164692680513582,3.7928038,12,6.088913,12.0,0,20.420666,18.991543,20.862274
S,"iDR3.SPLUS-s03s01.008704",325.3889979526399,-3.2406378430303344,3.742086,22,3.7198353,12.0,0,19.165745,18.386189,19.76187
H,"iDR3.HYDRA-0061.077544",153.4702520289938,-30.11950266626276,3.7657194,215,3.1887388,12.0,3,16.11445,15.727638,17.91066
S,"iDR3.SPLUS-n14s01.040345",150.96395692162002,-17.150617465968892,5.0067444,29,4.8785896,12.0,2,19.505304,17.893143,20.196198
H,"iDR3.HYDRA-0037.021298",160.18522298683968,-26.908199760912332,2.1716545,27,4.0945263,12.0,0,18.165886,18.190437,20.93346
H,"iDR3.HYDRA-0104.079278",152.3753520998562,-37.03252891504635,4.349279,28,1.82,8.0,0,18.960812,18.833256,20.739803
S,"iDR3.SPLUS-n05n50.007732",217.52949791818708,4.8643528621342185,2.2990887,23,4.9314137,11.0,2,19.461266,19.286442,20.757214
S,"iDR3.SPLUS-n02s37.046364",199.4331632480484,-1.000304791159635,3.5133927,208,5.3116336,12.0,3,18.349922,16.50238,19.165794
H,"iDR3.HYDRA-0104.044054",151.60526797652437,-37.802311781549434,2.689898,639,2.5602736,12.0,3,13.73965,13.743122,15.792477
S,"iDR3.SPLUS-n02n19.026183",174.75578476142175,1.3382478314723678,4.502627,18,3.7690837,12.0,3,19.307255,18.268187,19.69522
S,"iDR3.SPLUS-n14s14.006018",169.39803780151604,-18.139146400575363,6.0235476,40,4.7933154,12.0,2,19.653427,18.732384,20.227007
H,"iDR3.HYDRA-0069.012270",151.71667551521224,-32.75898223958493,2.8984432,1855,2.2687576,12.0,6,12.07682,12.008095,15.59594
H,"iDR3.HYDRA-0013.048992",154.60806176511605,-23.671327441386886,3.0364614,10,2.8091714,12.0,0,20.404266,19.462296,20.919624
H,"iDR3.HYDRA-0048.074383",164.05297648464912,-27.340493477803786,2.8731785,40,2.8533041,11.0,0,17.977083,16.471012,19.776667
S,"iDR3.SPLUS-n14s33.033280",195.38889023732077,-17.402163487986787,3.767671,18,3.4204102,12.0,0,19.890852,19.510323,20.562155
H,"iDR3.HYDRA-0151.000165",163.13488234779288,-45.27905175450667,2.07321,173,2.5633461,12.0,3,15.428055,14.788688,16.24619
H,"iDR3.HYDRA-D-0001.134024",157.9802219963947,-33.90828731046859,3.7859423,47,1.82,9.0,0,18.792168,18.096874,19.630417
S,"iDR3.STRIPE82-0007.023673",3.6199743565125737,-0.7455029176005269,6.947414,54,6.820581,12.0,3,19.68985,18.056273,20.256641
S,"iDR3.SPLUS-n19s01.006916",164.25184149386763,-24.798683830436467,2.3857658,12,1.82,12.0,0,20.045218,19.412052,20.549665
S,"iDR3.SPLUS-n02n28.033705",186.9424382125147,1.6010802406287115,4.604931,32,6.2916613,12.0,3,19.71866,18.319466,20.15703
S,"iDR3.SPLUS-n15s20.046032",176.9692875413315,-18.199593460927137,4.4076858,14,5.4630723,12.0,0,20.180893,19.571087,20.883173
H,"iDR3.HYDRA-0077.000664",150.69286744299933,-34.28577539761965,4.478303,37,3.384392,8.0,0,19.114214,18.577152,19.591496
H,"iDR3.HYDRA-0136.042939",163.00745026863922,-41.892170553131315,2.41967,56,3.5190935,12.0,0,17.635582,17.828808,20.384422
S,"iDR3.SPLUS-s24s61.017859",334.16969990165353,-31.240107171328066,5.549021,18,2.0872056,12.0,3,20.530664,19.947102,20.819887
H,"iDR3.HYDRA-0052.018558",154.08925296635758,-29.85986890487721,2.4366207,62,3.9094462,11.0,3,17.89144,17.72511,20.834179
H,"iDR3.HYDRA-0106.040045",156.9261644241479,-37.682411356469395,6.8371377,28,4.8146286,12.0,2,19.866385,19.10152,20.72963
H,"iDR3.HYDRA-0117.044221",160.07580629662584,-39.02361825020224,5.8880997,64,3.7623882,12.0,2,17.645313,17.588928,20.239035
H,"iDR3.HYDRA-0140.073990",156.85762487962052,-42.741802321381485,6.915502,72,3.6647053,12.0,0,17.542984,16.946106,18.508867
S,"iDR3.SPLUS-n02n19.019328",175.95021538229904,1.1350952392512657,2.8300993,13,3.9979973,12.0,0,19.379372,18.882671,20.288008
H,"iDR3.HYDRA-0117.018614",160.08655053457562,-39.49945999374784,5.51457,101,3.7642274,12.0,3,17.180588,17.181715,20.111338
S,"iDR3.STRIPE82-0024.000821",15.562046771477473,0.030255531274372773,3.8549912,122,3.4613879,12.0,0,17.42847,16.675602,17.741243
H,"iDR3.HYDRA-0077.074068",149.48358738891747,-33.1786172313488,6.159178,342,3.5090091,12.0,2,15.99811,15.793303,19.61156
H,"iDR3.HYDRA-0096.000007",152.42477533218374,-37.072283320428525,3.3252175,31,3.5726645,11.0,0,18.570251,17.573017,18.953693
H,"iDR3.HYDRA-0121.038210",150.36955277935004,-40.70523659502966,2.9851074,10,5.204759,11.0,0,19.809551,19.550707,20.737251
S,"iDR3.SPLUS-n11s03.019847",152.78760079527692,-13.775264641130967,3.6766667,178,5.1783953,12.0,3,19.203766,17.531147,19.752274
H,"iDR3.HYDRA-0031.014285",150.71541636257092,-27.097893479749743,2.9572082,31,4.453788,11.0,3,19.288774,19.236626,20.829527
