Field,ID,RA,DEC,FWHM,ISOarea,KRON_RADIUS,nDet_magPStotal,PhotoFlagDet,U_PStotal,F378_PStotal,F395_PStotal,F410_PStotal,F430_PStotal,G_PStotal,F515_PStotal,R_PStotal,F660_PStotal,I_PStotal,F861_PStotal,Z_PStotal,e_U_PStotal,e_F378_PStotal,e_F395_PStotal,e_F410_PStotal,e_F430_PStotal,e_G_PStotal,e_F515_PStotal,e_R_PStotal,e_F660_PStotal,e_I_PStotal,e_F861_PStotal,e_Z_PStotal
S,"iDR3.SPLUS-n16s11.031916",165.0198883039752,-20.164692680513582,3.7928038,12,6.088913,12.0,0,21.55251,21.562244,21.848885,21.956608,20.969328,21.07948,20.93965,20.420666,18.991543,20.862274,19.705982,20.425518,0.21430098,0.33963293,0.7330857,0.717523,0.2899629,0.109899856,0.21562307,0.06913103,0.024749137,0.14065401,0.1068306,0.17534901
S,"iDR3.SPLUS-n08s38.032224",202.69644814920034,-9.404781810879024,6.441645,20,5.527545,12.0,0,21.78966,22.921337,20.998266,21.320278,20.377213,21.894741,19.508936,19.689669,19.0525,20.484447,18.595959,19.572964,0.32311562,1.6306981,0.5503067,0.6317025,0.25966048,0.3025237,0.09660447,0.04510688,0.032170452,0.12129152,0.058142044,0.097825095
S,"iDR3.SPLUS-n11s01.041473",149.86750379524292,-13.252131750691166,2.2464907,13,1.82,12.0,0,20.970793,20.918734,21.582859,23.278353,20.836039,20.896599,21.04321,20.1786,19.68111,20.652071,19.560804,20.169388,0.1630006,0.23501398,0.71575475,2.8771636,0.3032103,0.102099285,0.27118847,0.04924267,0.047508374,0.12568067,0.08868814,0.1291633
S,"iDR3.SPLUS-s03s01.008704",325.3889979526399,-3.2406378430303344,3.742086,22,3.7198353,12.0,0,23.964592,23.147297,20.928661,20.72711,21.491997,20.05217,19.924017,19.165745,18.386189,19.76187,17.566174,21.633188,1.9089032,1.4392215,0.32321346,0.25046894,0.46260408,0.046497308,0.09219484,0.02358809,0.01572023,0.054638166,0.020447414,0.5924151
S,"iDR3.SPLUS-n14s22.057507",179.30895372978162,-17.15680210325376,3.2218258,21,4.947322,12.0,0,20.774311,20.597305,20.586346,20.570587,20.196264,20.456326,20.133703,20.11073,19.596893,20.412542,20.10013,19.859211,0.10545747,0.14814112,0.24538192,0.21631242,0.1526311,0.064837135,0.114267476,0.04801021,0.036069736,0.08933152,0.14460577,0.09956688
S,"iDR3.SPLUS-n14s14.006018",169.39803780151604,-18.139146400575363,6.0235476,40,4.7933154,12.0,2,20.617859,20.065723,20.245897,19.323942,19.33656,19.810383,18.720451,19.653427,18.732384,20.227007,18.630434,20.411728,0.10663728,0.13434005,0.21186803,0.091093905,0.09010259,0.041769598,0.04302253,0.033630546,0.01979495,0.07560508,0.04227127,0.16609868
S,"iDR3.SPLUS-n14s01.040345",150.96395692162002,-17.150617465968892,5.0067444,29,4.8785896,12.0,2,19.61089,19.02439,19.023365,18.684021,18.719702,18.513695,18.146997,19.505304,17.893143,20.196198,17.564487,22.415674,0.06375979,0.058014106,0.09005508,0.06562501,0.065149434,0.021763079,0.032525957,0.040058717,0.013944572,0.09099166,0.020283662,1.2395618
H,"iDR3.HYDRA-0011.075548",150.44330135993783,-23.173862289410675,2.0751402,17,1.82,6.0,0,99.0,99.0,99.0,99.0,99.0,99.0,22.587303,19.627684,19.112473,20.69732,21.070185,17.791441,22.208618,21.595507,21.043653,21.300066,21.315237,22.772398,1.1638132,0.031368442,0.034983374,0.10021534,0.46683255,0.016042173
H,"iDR3.HYDRA-0061.077544",153.4702520289938,-30.11950266626276,3.7657194,215,3.1887388,12.0,3,18.948374,19.800106,17.90323,17.0302,16.943624,16.85659,16.73694,16.11445,15.727638,17.91066,17.607666,15.486959,0.02835115,0.09218706,0.033240903,0.016798435,0.014634739,0.005947617,0.011293128,0.0037595478,0.0036904344,0.011375066,0.019545106,0.0037464558
S,"iDR3.SPLUS-n15s20.046032",176.9692875413315,-18.199593460927137,4.4076858,14,5.4630723,12.0,0,18.887444,18.981575,18.966793,18.762714,19.119617,20.75476,18.853395,20.180893,19.571087,20.883173,19.693005,20.985168,0.026583515,0.04380245,0.0665552,0.052265137,0.06456824,0.08272877,0.0422966,0.056864638,0.0370545,0.16858442,0.12613547,0.3889812
